req_id,citizen_id,utility_id,category,description,status,priority,created_at,updated_at,resolved_at
1,3,12,Drain Issue,Citizen requesting drain issue for Patiala area.,Rejected,Normal,2024-11-10 21:00:00,2024-11-14 21:00:00,2024-11-15 21:00:00
2,5,11,Illegal Dumping,Citizen requesting illegal dumping for Mansa area.,Resolved,Normal,2024-09-20 07:00:00,2024-09-30 07:00:00,2024-10-02 07:00:00
3,2,3,Power Outage,Citizen requesting power outage for Jalandhar area.,Resolved,Critical,2025-02-04 22:00:00,2025-02-04 22:00:00,2025-02-06 22:00:00
4,5,4,New Connection,Citizen requesting new connection for Mansa area.,Resolved,Normal,2024-07-04 20:00:00,2024-07-13 20:00:00,2024-07-14 20:00:00
5,39,3,Power Outage,Citizen requesting power outage for Gurdaspur area.,Resolved,Normal,2024-07-09 22:00:00,2024-07-10 22:00:00,2024-07-15 22:00:00
6,9,9,Water Quality,Citizen requesting water quality for Gurdaspur area.,In Progress,Normal,2024-11-28 16:00:00,2024-12-01 16:00:00,
7,8,1,New Connection,Citizen requesting new connection for Faridkot area.,Resolved,Normal,2024-09-22 20:00:00,2024-09-30 20:00:00,2024-10-01 20:00:00
8,17,13,General Query,Citizen requesting general query for Hoshiarpur area.,Pending,Normal,2024-04-20 03:00:00,2024-04-24 03:00:00,
9,45,15,Subsidy,Citizen requesting subsidy for Mansa area.,Escalated,Normal,2024-03-03 12:00:00,2024-03-04 12:00:00,
10,29,3,Power Outage,Citizen requesting power outage for Bathinda area.,Rejected,Normal,2024-02-15 05:00:00,2024-02-20 05:00:00,2024-02-23 05:00:00
11,46,2,Billing Dispute,Citizen requesting billing dispute for Mohali area.,In Progress,Normal,2024-06-02 13:00:00,2024-06-12 13:00:00,
12,12,13,General Query,Citizen requesting general query for Bathinda area.,In Progress,Normal,2024-03-03 14:00:00,2024-03-05 14:00:00,
13,16,13,General Query,Citizen requesting general query for Mansa area.,In Progress,Normal,2024-10-11 02:00:00,2024-10-16 02:00:00,
14,30,13,General Query,Citizen requesting general query for Hoshiarpur area.,Escalated,Normal,2024-11-09 10:00:00,2024-11-10 10:00:00,
15,20,7,New Connection,Citizen requesting new connection for Amritsar area.,Escalated,Critical,2024-09-03 00:00:00,2024-09-09 00:00:00,
16,50,7,New Connection,Citizen requesting new connection for Bathinda area.,Resolved,Low,2024-03-05 18:00:00,2024-03-15 18:00:00,2024-03-16 18:00:00
17,29,8,Low Pressure,Citizen requesting low pressure for Bathinda area.,Resolved,Normal,2024-03-07 01:00:00,2024-03-17 01:00:00,2024-03-22 01:00:00
18,12,13,General Query,Citizen requesting general query for Bathinda area.,Escalated,Normal,2024-09-14 09:00:00,2024-09-15 09:00:00,
19,34,3,Power Outage,Citizen requesting power outage for Hoshiarpur area.,In Progress,Normal,2024-06-15 06:00:00,2024-06-18 06:00:00,
20,23,9,Water Quality,Citizen requesting water quality for Mansa area.,Rejected,Low,2024-05-08 14:00:00,2024-05-18 14:00:00,2024-05-23 14:00:00
21,18,3,Power Outage,Citizen requesting power outage for Mansa area.,Resolved,High,2024-09-30 10:00:00,2024-10-08 10:00:00,2024-10-10 10:00:00
22,38,10,Missed Collection,Citizen requesting missed collection for Hoshiarpur area.,Pending,Critical,2024-11-16 07:00:00,2024-11-25 07:00:00,
23,22,14,Document Check,Citizen requesting document check for Jalandhar area.,Rejected,Low,2024-01-15 10:00:00,2024-01-15 10:00:00,2024-01-20 10:00:00
24,17,11,Illegal Dumping,Citizen requesting illegal dumping for Hoshiarpur area.,Pending,High,2024-08-02 03:00:00,2024-08-12 03:00:00,
25,2,8,Low Pressure,Citizen requesting low pressure for Jalandhar area.,Rejected,High,2024-05-29 04:00:00,2024-06-02 04:00:00,2024-06-06 04:00:00
26,16,13,General Query,Citizen requesting general query for Mansa area.,Resolved,Normal,2024-06-01 22:00:00,2024-06-02 22:00:00,2024-06-03 22:00:00
27,11,8,Low Pressure,Citizen requesting low pressure for Amritsar area.,In Progress,Normal,2024-04-14 18:00:00,2024-04-23 18:00:00,
28,10,6,Billing Dispute,Citizen requesting billing dispute for Mansa area.,Rejected,Normal,2025-01-10 19:00:00,2025-01-16 19:00:00,2025-01-18 19:00:00
29,49,6,Billing Dispute,Citizen requesting billing dispute for Faridkot area.,In Progress,Low,2024-06-12 15:00:00,2024-06-19 15:00:00,
30,8,5,Emergency,Citizen requesting emergency for Faridkot area.,In Progress,Normal,2024-02-19 09:00:00,2024-02-23 09:00:00,
31,25,14,Document Check,Citizen requesting document check for Bathinda area.,Resolved,Normal,2024-03-22 18:00:00,2024-03-31 18:00:00,2024-04-03 18:00:00
32,13,13,General Query,Citizen requesting general query for Mohali area.,Pending,High,2024-08-27 23:00:00,2024-08-31 23:00:00,
33,32,1,New Connection,Citizen requesting new connection for Gurdaspur area.,Pending,Normal,2024-09-15 22:00:00,2024-09-18 22:00:00,
34,14,10,Missed Collection,Citizen requesting missed collection for Jalandhar area.,In Progress,Low,2024-05-24 23:00:00,2024-06-02 23:00:00,
35,57,14,Document Check,Citizen requesting document check for Amritsar area.,Resolved,Normal,2024-05-27 01:00:00,2024-05-27 01:00:00,2024-05-28 01:00:00
36,28,3,Power Outage,Citizen requesting power outage for Mansa area.,Rejected,Critical,2024-07-06 20:00:00,2024-07-11 20:00:00,2024-07-12 20:00:00
37,26,1,New Connection,Citizen requesting new connection for Faridkot area.,Resolved,Normal,2024-07-05 01:00:00,2024-07-09 01:00:00,2024-07-10 01:00:00
38,25,9,Water Quality,Citizen requesting water quality for Bathinda area.,In Progress,High,2024-05-24 03:00:00,2024-06-03 03:00:00,
39,40,2,Billing Dispute,Citizen requesting billing dispute for Mohali area.,Pending,Low,2024-07-20 19:00:00,2024-07-25 19:00:00,
40,36,6,Billing Dispute,Citizen requesting billing dispute for Mohali area.,Resolved,Normal,2024-11-05 00:00:00,2024-11-11 00:00:00,2024-11-16 00:00:00
41,3,1,New Connection,Citizen requesting new connection for Patiala area.,Pending,Critical,2024-06-19 23:00:00,2024-06-27 23:00:00,
42,30,3,Power Outage,Citizen requesting power outage for Hoshiarpur area.,Resolved,High,2024-03-12 18:00:00,2024-03-21 18:00:00,2024-03-24 18:00:00
43,11,7,New Connection,Citizen requesting new connection for Amritsar area.,Escalated,Critical,2024-06-03 02:00:00,2024-06-08 02:00:00,
44,33,14,Document Check,Citizen requesting document check for Hoshiarpur area.,In Progress,Normal,2024-12-29 02:00:00,2025-01-02 02:00:00,
45,31,14,Document Check,Citizen requesting document check for Mansa area.,Pending,Normal,2024-12-10 11:00:00,2024-12-16 11:00:00,
46,38,5,Emergency,Citizen requesting emergency for Hoshiarpur area.,Resolved,Critical,2024-12-19 04:00:00,2024-12-19 04:00:00,2024-12-24 04:00:00
47,31,5,Emergency,Citizen requesting emergency for Mansa area.,Escalated,High,2024-10-22 15:00:00,2024-10-22 15:00:00,
48,38,8,Low Pressure,Citizen requesting low pressure for Hoshiarpur area.,Pending,Critical,2025-01-05 03:00:00,2025-01-11 03:00:00,
49,10,14,Document Check,Citizen requesting document check for Mansa area.,Resolved,Low,2024-10-21 06:00:00,2024-10-22 06:00:00,2024-10-24 06:00:00
50,2,8,Low Pressure,Citizen requesting low pressure for Jalandhar area.,In Progress,Normal,2024-07-31 06:00:00,2024-08-03 06:00:00,
51,27,9,Water Quality,Citizen requesting water quality for Mansa area.,Resolved,Normal,2025-01-12 07:00:00,2025-01-12 07:00:00,2025-01-14 07:00:00
52,34,4,New Connection,Citizen requesting new connection for Hoshiarpur area.,Resolved,Critical,2024-09-02 00:00:00,2024-09-08 00:00:00,2024-09-11 00:00:00
53,12,8,Low Pressure,Citizen requesting low pressure for Bathinda area.,Rejected,Normal,2024-10-06 19:00:00,2024-10-16 19:00:00,2024-10-19 19:00:00
54,40,8,Low Pressure,Citizen requesting low pressure for Mohali area.,Pending,Normal,2024-05-23 01:00:00,2024-05-27 01:00:00,
55,15,5,Emergency,Citizen requesting emergency for Gurdaspur area.,Resolved,Critical,2024-04-17 06:00:00,2024-04-24 06:00:00,2024-04-27 06:00:00
56,31,6,Billing Dispute,Citizen requesting billing dispute for Mansa area.,Resolved,Critical,2024-05-20 17:00:00,2024-05-21 17:00:00,2024-05-26 17:00:00
57,44,9,Water Quality,Citizen requesting water quality for Ludhiana area.,In Progress,Normal,2024-06-25 12:00:00,2024-06-29 12:00:00,
58,3,5,Emergency,Citizen requesting emergency for Patiala area.,Escalated,Low,2024-06-26 22:00:00,2024-07-06 22:00:00,
59,17,12,Drain Issue,Citizen requesting drain issue for Hoshiarpur area.,In Progress,Normal,2024-10-02 16:00:00,2024-10-10 16:00:00,
60,45,5,Emergency,Citizen requesting emergency for Mansa area.,Pending,High,2025-01-15 02:00:00,2025-01-18 02:00:00,
61,16,1,New Connection,Citizen requesting new connection for Mansa area.,Resolved,High,2024-04-26 04:00:00,2024-04-29 04:00:00,2024-04-30 04:00:00
62,7,7,New Connection,Citizen requesting new connection for Jalandhar area.,In Progress,Normal,2024-02-22 05:00:00,2024-02-24 05:00:00,
63,1,9,Water Quality,Citizen requesting water quality for Jalandhar area.,Escalated,Normal,2024-07-28 04:00:00,2024-08-04 04:00:00,
64,31,11,Illegal Dumping,Citizen requesting illegal dumping for Mansa area.,Pending,Normal,2024-06-13 17:00:00,2024-06-23 17:00:00,
65,4,15,Subsidy,Citizen requesting subsidy for Ludhiana area.,Resolved,Critical,2024-10-20 15:00:00,2024-10-28 15:00:00,2024-10-29 15:00:00
66,59,15,Subsidy,Citizen requesting subsidy for Patiala area.,Pending,Normal,2024-01-19 20:00:00,2024-01-26 20:00:00,
67,12,15,Subsidy,Citizen requesting subsidy for Bathinda area.,Resolved,Normal,2024-01-20 08:00:00,2024-01-24 08:00:00,2024-01-29 08:00:00
68,39,2,Billing Dispute,Citizen requesting billing dispute for Gurdaspur area.,Rejected,Normal,2024-05-25 22:00:00,2024-06-04 22:00:00,2024-06-09 22:00:00
69,34,8,Low Pressure,Citizen requesting low pressure for Hoshiarpur area.,Rejected,Normal,2024-09-15 22:00:00,2024-09-19 22:00:00,2024-09-21 22:00:00
70,52,2,Billing Dispute,Citizen requesting billing dispute for Amritsar area.,In Progress,Critical,2024-08-23 04:00:00,2024-08-27 04:00:00,
71,46,3,Power Outage,Citizen requesting power outage for Mohali area.,Pending,Normal,2024-06-01 02:00:00,2024-06-11 02:00:00,
72,49,4,New Connection,Citizen requesting new connection for Faridkot area.,Pending,Critical,2024-07-26 21:00:00,2024-08-03 21:00:00,
73,21,2,Billing Dispute,Citizen requesting billing dispute for Mohali area.,In Progress,Low,2024-04-04 12:00:00,2024-04-11 12:00:00,
74,21,15,Subsidy,Citizen requesting subsidy for Mohali area.,Pending,Normal,2024-07-15 15:00:00,2024-07-22 15:00:00,
75,49,5,Emergency,Citizen requesting emergency for Faridkot area.,Escalated,Normal,2024-10-26 07:00:00,2024-11-04 07:00:00,
76,1,5,Emergency,Citizen requesting emergency for Jalandhar area.,Resolved,Critical,2024-04-30 09:00:00,2024-05-10 09:00:00,2024-05-11 09:00:00
77,30,5,Emergency,Citizen requesting emergency for Hoshiarpur area.,Pending,Critical,2024-09-15 06:00:00,2024-09-19 06:00:00,
78,45,2,Billing Dispute,Citizen requesting billing dispute for Mansa area.,Resolved,Normal,2024-07-08 03:00:00,2024-07-11 03:00:00,2024-07-13 03:00:00
79,9,8,Low Pressure,Citizen requesting low pressure for Gurdaspur area.,Pending,Critical,2024-11-06 19:00:00,2024-11-12 19:00:00,
80,45,9,Water Quality,Citizen requesting water quality for Mansa area.,Rejected,High,2024-12-06 14:00:00,2024-12-09 14:00:00,2024-12-14 14:00:00
81,56,13,General Query,Citizen requesting general query for Mansa area.,Pending,Normal,2024-09-28 06:00:00,2024-10-03 06:00:00,
82,5,15,Subsidy,Citizen requesting subsidy for Mansa area.,Resolved,Low,2024-10-08 00:00:00,2024-10-11 00:00:00,2024-10-16 00:00:00
83,35,3,Power Outage,Citizen requesting power outage for Mohali area.,Pending,High,2024-08-14 11:00:00,2024-08-24 11:00:00,
84,14,12,Drain Issue,Citizen requesting drain issue for Jalandhar area.,Resolved,Low,2024-09-18 22:00:00,2024-09-18 22:00:00,2024-09-22 22:00:00
85,9,9,Water Quality,Citizen requesting water quality for Gurdaspur area.,In Progress,High,2024-01-31 01:00:00,2024-02-07 01:00:00,
86,44,13,General Query,Citizen requesting general query for Ludhiana area.,In Progress,Low,2024-07-21 16:00:00,2024-07-21 16:00:00,
87,48,4,New Connection,Citizen requesting new connection for Gurdaspur area.,Resolved,Low,2024-08-04 19:00:00,2024-08-05 19:00:00,2024-08-10 19:00:00
88,4,15,Subsidy,Citizen requesting subsidy for Ludhiana area.,Rejected,Normal,2024-01-17 17:00:00,2024-01-23 17:00:00,2024-01-25 17:00:00
89,50,3,Power Outage,Citizen requesting power outage for Bathinda area.,Resolved,Critical,2024-11-26 21:00:00,2024-12-01 21:00:00,2024-12-05 21:00:00
90,29,14,Document Check,Citizen requesting document check for Bathinda area.,Rejected,Normal,2024-07-11 10:00:00,2024-07-21 10:00:00,2024-07-26 10:00:00
91,9,11,Illegal Dumping,Citizen requesting illegal dumping for Gurdaspur area.,Rejected,Low,2024-04-02 01:00:00,2024-04-08 01:00:00,2024-04-13 01:00:00
92,9,12,Drain Issue,Citizen requesting drain issue for Gurdaspur area.,Escalated,Low,2025-01-22 08:00:00,2025-01-26 08:00:00,
93,30,11,Illegal Dumping,Citizen requesting illegal dumping for Hoshiarpur area.,Resolved,Normal,2024-09-29 20:00:00,2024-10-02 20:00:00,2024-10-04 20:00:00
94,30,6,Billing Dispute,Citizen requesting billing dispute for Hoshiarpur area.,Pending,Normal,2025-01-06 11:00:00,2025-01-06 11:00:00,
95,52,11,Illegal Dumping,Citizen requesting illegal dumping for Amritsar area.,In Progress,Low,2024-05-03 14:00:00,2024-05-04 14:00:00,
96,7,10,Missed Collection,Citizen requesting missed collection for Jalandhar area.,Pending,High,2024-12-11 06:00:00,2024-12-11 06:00:00,
97,16,12,Drain Issue,Citizen requesting drain issue for Mansa area.,Pending,Normal,2024-04-30 01:00:00,2024-05-03 01:00:00,
98,49,14,Document Check,Citizen requesting document check for Faridkot area.,Resolved,Normal,2024-09-14 17:00:00,2024-09-17 17:00:00,2024-09-22 17:00:00
99,21,10,Missed Collection,Citizen requesting missed collection for Mohali area.,Resolved,Critical,2024-06-13 15:00:00,2024-06-17 15:00:00,2024-06-19 15:00:00
100,43,9,Water Quality,Citizen requesting water quality for Faridkot area.,Pending,Normal,2024-05-20 09:00:00,2024-05-28 09:00:00,
101,38,15,Subsidy,Citizen requesting subsidy for Hoshiarpur area.,Resolved,Normal,2024-11-17 05:00:00,2024-11-23 05:00:00,2024-11-28 05:00:00
102,32,1,New Connection,Citizen requesting new connection for Gurdaspur area.,Escalated,Critical,2024-12-09 20:00:00,2024-12-17 20:00:00,
103,21,12,Drain Issue,Citizen requesting drain issue for Mohali area.,In Progress,Normal,2024-06-02 20:00:00,2024-06-04 20:00:00,
104,49,9,Water Quality,Citizen requesting water quality for Faridkot area.,In Progress,Normal,2024-06-03 06:00:00,2024-06-05 06:00:00,
105,52,8,Low Pressure,Citizen requesting low pressure for Amritsar area.,Rejected,High,2024-07-30 21:00:00,2024-08-07 21:00:00,2024-08-12 21:00:00
106,9,7,New Connection,Citizen requesting new connection for Gurdaspur area.,Pending,Normal,2024-06-19 04:00:00,2024-06-20 04:00:00,
107,60,8,Low Pressure,Citizen requesting low pressure for Mansa area.,Resolved,Low,2024-10-02 07:00:00,2024-10-05 07:00:00,2024-10-06 07:00:00
108,18,7,New Connection,Citizen requesting new connection for Mansa area.,Resolved,High,2024-01-21 10:00:00,2024-01-24 10:00:00,2024-01-29 10:00:00
109,47,11,Illegal Dumping,Citizen requesting illegal dumping for Jalandhar area.,Resolved,Normal,2024-04-16 18:00:00,2024-04-20 18:00:00,2024-04-21 18:00:00
110,14,15,Subsidy,Citizen requesting subsidy for Jalandhar area.,Pending,Critical,2024-03-02 07:00:00,2024-03-09 07:00:00,
111,59,4,New Connection,Citizen requesting new connection for Patiala area.,Resolved,Critical,2024-04-14 20:00:00,2024-04-17 20:00:00,2024-04-22 20:00:00
112,21,13,General Query,Citizen requesting general query for Mohali area.,Pending,Normal,2024-10-01 04:00:00,2024-10-06 04:00:00,
113,20,5,Emergency,Citizen requesting emergency for Amritsar area.,In Progress,Normal,2024-08-26 11:00:00,2024-09-02 11:00:00,
114,49,14,Document Check,Citizen requesting document check for Faridkot area.,In Progress,Normal,2024-07-08 18:00:00,2024-07-14 18:00:00,
115,3,10,Missed Collection,Citizen requesting missed collection for Patiala area.,Rejected,Critical,2024-03-15 08:00:00,2024-03-19 08:00:00,2024-03-24 08:00:00
116,60,10,Missed Collection,Citizen requesting missed collection for Mansa area.,Resolved,Normal,2024-05-31 12:00:00,2024-06-03 12:00:00,2024-06-06 12:00:00
117,15,7,New Connection,Citizen requesting new connection for Gurdaspur area.,Resolved,Normal,2024-09-13 01:00:00,2024-09-23 01:00:00,2024-09-26 01:00:00
118,17,13,General Query,Citizen requesting general query for Hoshiarpur area.,Resolved,Critical,2024-11-25 07:00:00,2024-12-02 07:00:00,2024-12-06 07:00:00
119,11,12,Drain Issue,Citizen requesting drain issue for Amritsar area.,Resolved,Normal,2024-03-13 07:00:00,2024-03-21 07:00:00,2024-03-25 07:00:00
120,12,15,Subsidy,Citizen requesting subsidy for Bathinda area.,Rejected,Critical,2024-02-01 00:00:00,2024-02-01 00:00:00,2024-02-02 00:00:00
